{
	{
		["ID"] = 1,
		["choice_rpgitem"] = {
		},
		["desc"] = "专精研习",
		["ending_id"] = {
		},
		["modify_quest"] = {
		},
		["reward_rpgitem_times"] = {
			16,
			17,
			18,
		},
		["rpgitem_quality"] = 1,
		["unlock_node"] = {
		},
		["unlock_quest"] = {
		},
		["unlock_rpgitem"] = {
		},
		["unlock_text"] = "",
	},
	{
		["ID"] = 2,
		["choice_rpgitem"] = {
		},
		["desc"] = "强炎",
		["ending_id"] = {
		},
		["modify_quest"] = {
		},
		["reward_rpgitem_times"] = {
			19,
			20,
			21,
		},
		["rpgitem_quality"] = 1,
		["unlock_node"] = {
		},
		["unlock_quest"] = {
		},
		["unlock_rpgitem"] = {
		},
		["unlock_text"] = "",
	},
	{
		["ID"] = 3,
		["choice_rpgitem"] = {
		},
		["desc"] = "轻量化·三角",
		["ending_id"] = {
		},
		["modify_quest"] = {
		},
		["reward_rpgitem_times"] = {
			22,
			23,
			24,
		},
		["rpgitem_quality"] = 1,
		["unlock_node"] = {
		},
		["unlock_quest"] = {
		},
		["unlock_rpgitem"] = {
		},
		["unlock_text"] = "",
	},
	{
		["ID"] = 4,
		["choice_rpgitem"] = {
		},
		["desc"] = "强爆燃",
		["ending_id"] = {
		},
		["modify_quest"] = {
		},
		["reward_rpgitem_times"] = {
			25,
			26,
			27,
		},
		["rpgitem_quality"] = 1,
		["unlock_node"] = {
		},
		["unlock_quest"] = {
		},
		["unlock_rpgitem"] = {
		},
		["unlock_text"] = "",
	},
	{
		["ID"] = 5,
		["choice_rpgitem"] = {
		},
		["desc"] = "嗡鸣",
		["ending_id"] = {
		},
		["modify_quest"] = {
		},
		["reward_rpgitem_times"] = {
			28,
			29,
			30,
		},
		["rpgitem_quality"] = 1,
		["unlock_node"] = {
		},
		["unlock_quest"] = {
		},
		["unlock_rpgitem"] = {
		},
		["unlock_text"] = "",
	},
	{
		["ID"] = 6,
		["choice_rpgitem"] = {
		},
		["desc"] = "专精补正",
		["ending_id"] = {
		},
		["modify_quest"] = {
		},
		["reward_rpgitem_times"] = {
			31,
			32,
			33,
		},
		["rpgitem_quality"] = 1,
		["unlock_node"] = {
		},
		["unlock_quest"] = {
		},
		["unlock_rpgitem"] = {
		},
		["unlock_text"] = "",
	},
	{
		["ID"] = 7,
		["choice_rpgitem"] = {
		},
		["desc"] = "攻击研习",
		["ending_id"] = {
		},
		["modify_quest"] = {
		},
		["reward_rpgitem_times"] = {
			34,
			35,
			36,
		},
		["rpgitem_quality"] = 2,
		["unlock_node"] = {
		},
		["unlock_quest"] = {
		},
		["unlock_rpgitem"] = {
		},
		["unlock_text"] = "",
	},
	{
		["ID"] = 8,
		["choice_rpgitem"] = {
		},
		["desc"] = "强霜",
		["ending_id"] = {
		},
		["modify_quest"] = {
		},
		["reward_rpgitem_times"] = {
			37,
			38,
			39,
		},
		["rpgitem_quality"] = 2,
		["unlock_node"] = {
		},
		["unlock_quest"] = {
		},
		["unlock_rpgitem"] = {
		},
		["unlock_text"] = "",
	},
	{
		["ID"] = 9,
		["choice_rpgitem"] = {
		},
		["desc"] = "轻量化",
		["ending_id"] = {
		},
		["modify_quest"] = {
		},
		["reward_rpgitem_times"] = {
			40,
			41,
			42,
		},
		["rpgitem_quality"] = 2,
		["unlock_node"] = {
		},
		["unlock_quest"] = {
		},
		["unlock_rpgitem"] = {
		},
		["unlock_text"] = "",
	},
	{
		["ID"] = 10,
		["choice_rpgitem"] = {
		},
		["desc"] = "易碎",
		["ending_id"] = {
		},
		["modify_quest"] = {
		},
		["reward_rpgitem_times"] = {
			43,
			44,
			45,
		},
		["rpgitem_quality"] = 2,
		["unlock_node"] = {
		},
		["unlock_quest"] = {
		},
		["unlock_rpgitem"] = {
		},
		["unlock_text"] = "",
	},
	{
		["ID"] = 11,
		["choice_rpgitem"] = {
		},
		["desc"] = "寒气易体",
		["ending_id"] = {
		},
		["modify_quest"] = {
		},
		["reward_rpgitem_times"] = {
			46,
