{
	[10001] = {
		["affix_ids"] = {
			1109,
			1131,
		},
		["challenge_id"] = 10001,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "reward_default",
		["event"] = "evolution_1",
		["event_days_offset_end"] = 7,
		["event_days_offset_start"] = 0,
		["level_idx"] = 1,
		["max_reward"] = "reward_max_default",
		["name"] = "拟合回归",
		["show_affixs"] = {
			1109,
			1131,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 25,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 99,
	},
	[10002] = {
		["affix_ids"] = {
			1109,
			1130,
			1137,
		},
		["challenge_id"] = 10002,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "",
		["event"] = "evolution_1",
		["event_days_offset_end"] = 7,
		["event_days_offset_start"] = 0,
		["level_idx"] = 2,
		["max_reward"] = "",
		["name"] = "拟合回归",
		["pre_evolution_ids"] = {
			10001,
		},
		["rank_id"] = 4,
		["show_affixs"] = {
			1109,
			1130,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 36,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 27,
	},
	[10003] = {
		["affix_ids"] = {
			1109,
			1131,
		},
		["challenge_id"] = 10003,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "reward_default",
		["event"] = "evolution_1",
		["event_days_offset_end"] = 14,
		["event_days_offset_start"] = 7,
		["level_idx"] = 1,
		["max_reward"] = "reward_max_default",
		["name"] = "拟合回归",
		["show_affixs"] = {
			1109,
			1131,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 25,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 99,
	},
	[10004] = {
		["affix_ids"] = {
			1109,
			1130,
			1137,
		},
		["challenge_id"] = 10004,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "",
		["event"] = "evolution_1",
		["event_days_offset_end"] = 14,
		["event_days_offset_start"] = 7,
		["level_idx"] = 2,
		["max_reward"] = "",
		["name"] = "拟合回归",
		["pre_evolution_ids"] = {
			10003,
		},
		["rank_id"] = 3,
		["show_affixs"] = {
			1109,
			1130,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 36,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 27,
	},
	[10005] = {
		["affix_ids"] = {
			1109,
			1131,
		},
		["challenge_id"] = 10005,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "reward_default",
		["event"] = "evolution_1",
		["event_days_offset_end"] = 21,
		["event_days_offset_start"] = 14,
		["level_idx"] = 1,
		["max_reward"] = "reward_max_default",
		["name"] = "拟合回归",
		["show_affixs"] = {
			1109,
			1131,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 25,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 99,
	},
	[10006] = {
		["affix_ids"] = {
			1109,
			1130,
			1137,
		},
		["challenge_id"] = 10006,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "",
		["event"] = "evolution_1",
		["event_days_offset_end"] = 21,
		["event_days_offset_start"] = 14,
		["level_idx"] = 2,
		["max_reward"] = "",
		["name"] = "拟合回归",
		["pre_evolution_ids"] = {
			10005,
		},
		["rank_id"] = 3,
		["show_affixs"] = {
			1109,
			1130,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 36,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 27,
	},
	[10007] = {
		["affix_ids"] = {
			1136,
			1131,
		},
		["challenge_id"] = 10007,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "reward_default",
		["event"] = "evolution_2",
		["event_days_offset_end"] = 7,
		["event_days_offset_start"] = 0,
		["level_idx"] = 1,
		["max_reward"] = "reward_max_default",
		["name"] = "拟合回归",
		["show_affixs"] = {
			1136,
			1131,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 25,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 99,
	},
	[10008] = {
		["affix_ids"] = {
			1136,
			1135,
			1139,
			1137,
		},
		["challenge_id"] = 10008,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "",
		["event"] = "evolution_2",
		["event_days_offset_end"] = 7,
		["event_days_offset_start"] = 0,
		["level_idx"] = 2,
		["max_reward"] = "",
		["name"] = "拟合回归",
		["pre_evolution_ids"] = {
			10007,
		},
		["rank_id"] = 3,
		["show_affixs"] = {
			1136,
			1135,
			1139,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 36,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 27,
	},
	[10009] = {
		["affix_ids"] = {
			1136,
			1131,
		},
		["challenge_id"] = 10009,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "reward_default",
		["event"] = "evolution_2",
		["event_days_offset_end"] = 14,
		["event_days_offset_start"] = 7,
		["level_idx"] = 1,
		["max_reward"] = "reward_max_default",
		["name"] = "拟合回归",
		["show_affixs"] = {
			1136,
			1131,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 25,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 99,
	},
	[10010] = {
		["affix_ids"] = {
			1136,
			1135,
			1139,
			1138,
		},
		["challenge_id"] = 10010,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "",
		["event"] = "evolution_2",
		["event_days_offset_end"] = 14,
		["event_days_offset_start"] = 7,
		["level_idx"] = 3,
		["max_reward"] = "",
		["name"] = "拟合回归",
		["pre_evolution_ids"] = {
			10009,
		},
		["rank_id"] = 3,
		["show_affixs"] = {
			1136,
			1135,
			1139,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 48,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 27,
	},
	[10011] = {
		["affix_ids"] = {
			1136,
			1131,
		},
		["challenge_id"] = 10011,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "reward_default",
		["event"] = "evolution_2",
		["event_days_offset_end"] = 21,
		["event_days_offset_start"] = 14,
		["level_idx"] = 1,
		["max_reward"] = "reward_max_default",
		["name"] = "拟合回归",
		["show_affixs"] = {
			1136,
			1131,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 25,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 99,
	},
	[10012] = {
		["affix_ids"] = {
			1136,
			1135,
			1139,
			1138,
		},
		["challenge_id"] = 10012,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "",
		["event"] = "evolution_2",
		["event_days_offset_end"] = 21,
		["event_days_offset_start"] = 14,
		["level_idx"] = 3,
		["max_reward"] = "",
		["name"] = "拟合回归",
		["pre_evolution_ids"] = {
			10011,
		},
		["rank_id"] = 3,
		["show_affixs"] = {
			1136,
			1135,
			1139,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 48,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 27,
	},
	[10013] = {
		["affix_ids"] = {
			1143,
			1131,
		},
		["challenge_id"] = 10013,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "reward_default",
		["event"] = "evolution_3",
		["event_days_offset_end"] = 7,
		["event_days_offset_start"] = 0,
		["level_idx"] = 1,
		["max_reward"] = "reward_max_default",
		["name"] = "拟合回归",
		["show_affixs"] = {
			1143,
			1131,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 25,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 99,
	},
	[10014] = {
		["affix_ids"] = {
			1143,
			1130,
			1138,
		},
		["challenge_id"] = 10014,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "",
		["event"] = "evolution_3",
		["event_days_offset_end"] = 7,
		["event_days_offset_start"] = 0,
		["level_idx"] = 4,
		["max_reward"] = "",
		["name"] = "拟合回归",
		["pre_evolution_ids"] = {
			10013,
		},
		["rank_id"] = 3,
		["show_affixs"] = {
			1143,
			1130,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 48,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 27,
	},
	[10015] = {
		["affix_ids"] = {
			1143,
			1131,
		},
		["challenge_id"] = 10015,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "reward_default",
		["event"] = "evolution_3",
		["event_days_offset_end"] = 14,
		["event_days_offset_start"] = 7,
		["level_idx"] = 1,
		["max_reward"] = "reward_max_default",
		["name"] = "拟合回归",
		["show_affixs"] = {
			1143,
			1131,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 25,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 99,
	},
	[10016] = {
		["affix_ids"] = {
			1143,
			1130,
			1138,
		},
		["challenge_id"] = 10016,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "",
		["event"] = "evolution_3",
		["event_days_offset_end"] = 14,
		["event_days_offset_start"] = 7,
		["level_idx"] = 4,
		["max_reward"] = "",
		["name"] = "拟合回归",
		["pre_evolution_ids"] = {
			10015,
		},
		["rank_id"] = 3,
		["show_affixs"] = {
			1143,
			1130,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 48,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 27,
	},
	[10017] = {
		["affix_ids"] = {
			1143,
			1131,
		},
		["challenge_id"] = 10017,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "reward_default",
		["event"] = "evolution_3",
		["event_days_offset_end"] = 21,
		["event_days_offset_start"] = 14,
		["level_idx"] = 1,
		["max_reward"] = "reward_max_default",
		["name"] = "拟合回归",
		["show_affixs"] = {
			1143,
			1131,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 25,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 99,
	},
	[10018] = {
		["affix_ids"] = {
			1143,
			1130,
			1138,
		},
		["challenge_id"] = 10018,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "",
		["event"] = "evolution_3",
		["event_days_offset_end"] = 21,
		["event_days_offset_start"] = 14,
		["level_idx"] = 4,
		["max_reward"] = "",
		["name"] = "拟合回归",
		["pre_evolution_ids"] = {
			10017,
		},
		["rank_id"] = 3,
		["show_affixs"] = {
			1143,
			1130,
		},
		["target_npc_id"] = 814,
		["total_wave_count"] = 48,
		["verify_test_wave_count"] = 10,
		["verify_wave_count"] = 27,
	},
	[10019] = {
		["affix_ids"] = {
			1131,
			1150,
		},
		["challenge_id"] = 10019,
		["chapter_idx"] = 98,
		["cumulative_reward"] = "reward_default",
