{
	[0] = {
		["prop_num_prior_exp"] = "1",
		["prop_num_prior_fight_countdown"] = "-1",
		["prop_num_prior_has_lb"] = "-1",
		["prop_num_prior_hp_max"] = "-1",
		["prop_num_prior_immune_hitback"] = "-1",
		["prop_num_prior_pmdef"] = "-1",
		["prop_num_prior_valid_type"] = "-1",
		["prop_num_templ_con_mul"] = "0.7",
	},
	[1008] = {
		["ID"] = "1008",
		["note_name"] = "",
		["note_rank"] = "",
		["note_scene"] = "",
		["prop_base_lv_ini"] = "1",
		["prop_base_lv_offset"] = "0",
		["prop_npc_drop_mask"] = "15",
		["prop_npc_drop_special_info"] = "",
		["prop_npc_hp_bar_num"] = "1",
		["prop_num_base_element_injury_electric"] = "1.5",
		["prop_num_base_element_injury_fire"] = "1",
		["prop_num_base_element_injury_fog"] = "1",
		["prop_num_base_element_injury_ice"] = "1",
		["prop_num_base_element_injury_none"] = "1",
		["prop_num_base_element_injury_oil"] = "1",
		["prop_num_base_element_injury_poison_fog"] = "1",
		["prop_num_base_element_injury_toxic"] = "1",
		["prop_num_base_element_injury_water"] = "1",
		["prop_num_base_element_injury_wind"] = "1",
		["prop_num_base_toxic_mul_res"] = "0",
		["prop_num_npc_cust"] = "",
		["prop_num_npc_tpl"] = "tpl_standard_melee",
		["prop_num_npc_tpl_lv"] = "-1",
		["prop_num_npc_type"] = "1",
		["prop_num_prior_action_immune"] = "-1",
		["prop_num_prior_anti_stealth"] = "-1",
		["prop_num_prior_chaos_dps"] = "-1",
		["prop_num_prior_create_countdown"] = "-1",
		["prop_num_prior_damage_dps"] = "-1",
		["prop_num_prior_exp"] = "1",
		["prop_num_prior_fight_countdown"] = "-1",
		["prop_num_prior_has_lb"] = "-1",
		["prop_num_prior_hp_max"] = "-1",
		["prop_num_prior_immune_hitback"] = "-1",
		["prop_num_prior_pmdef"] = "-1",
		["prop_num_prior_valid_type"] = "-1",
		["prop_num_templ_con_mul"] = "0.7",
	},
	[1009] = {
		["ID"] = "1009",
		["note_name"] = "",
		["note_rank"] = "",
		["note_scene"] = "",
		["prop_base_lv_ini"] = "1",
		["prop_base_lv_offset"] = "0",
		["prop_npc_drop_mask"] = "15",
		["prop_npc_drop_special_info"] = "",
		["prop_npc_hp_bar_num"] = "1",
		["prop_num_base_element_injury_electric"] = "1.5",
		["prop_num_base_element_injury_fire"] = "1",
		["prop_num_base_element_injury_fog"] = "1",
		["prop_num_base_element_injury_ice"] = "1",
		["prop_num_base_element_injury_none"] = "1",
		["prop_num_base_element_injury_oil"] = "1",
		["prop_num_base_element_injury_poison_fog"] = "1",
		["prop_num_base_element_injury_toxic"] = "1",
		["prop_num_base_element_injury_water"] = "1",
		["prop_num_base_element_injury_wind"] = "1",
		["prop_num_base_toxic_mul_res"] = "0",
		["prop_num_npc_cust"] = "",
		["prop_num_npc_tpl"] = "tpl_standard_range",
		["prop_num_npc_tpl_lv"] = "-1",
		["prop_num_npc_type"] = "1",
		["prop_num_prior_action_immune"] = "-1",
		["prop_num_prior_anti_stealth"] = "-1",
		["prop_num_prior_chaos_dps"] = "-1",
		["prop_num_prior_create_countdown"] = "-1",
		["prop_num_prior_damage_dps"] = "-1",
		["prop_num_prior_exp"] = "1",
		["prop_num_prior_fight_countdown"] = "-1",
		["prop_num_prior_has_lb"] = "-1",
		["prop_num_prior_hp_max"] = "-1",
		["prop_num_prior_immune_hitback"] = "-1",
		["prop_num_prior_pmdef"] = "-1",
		["prop_num_prior_valid_type"] = "-1",
		["prop_num_templ_con_mul"] = "0.7",
	},
	[1010] = {
		["ID"] = "1010",
		["note_name"] = "",
		["note_rank"] = "",
		["note_scene"] = "",
		["prop_base_lv_ini"] = "1",
		["prop_base_lv_offset"] = "0",
		["prop_npc_drop_mask"] = "15",
		["prop_npc_drop_special_info"] = "",
		["prop_npc_hp_bar_num"] = "1",
		["prop_num_base_element_injury_electric"] = "1.5",
		["prop_num_base_element_injury_fire"] = "1",
		["prop_num_base_element_injury_fog"] = "1",
		["prop_num_base_element_injury_ice"] = "1",
		["prop_num_base_element_injury_none"] = "1",
		["prop_num_base_element_injury_oil"] = "1",
		["prop_num_base_element_injury_poison_fog"] = "1",
		["prop_num_base_element_injury_toxic"] = "1",
		["prop_num_base_element_injury_water"] = "1",
		["prop_num_base_element_injury_wind"] = "1",
		["prop_num_base_toxic_mul_res"] = "0",
		["prop_num_npc_cust"] = "",
		["prop_num_npc_tpl"] = "tpl_big_melee_def",
		["prop_num_npc_tpl_lv"] = "-1",
		["prop_num_npc_type"] = "1",
		["prop_num_prior_action_immune"] = "-1",
		["prop_num_prior_anti_stealth"] = "-1",
		["prop_num_prior_chaos_dps"] = "-1",
		["prop_num_prior_create_countdown"] = "-1",
		["prop_num_prior_damage_dps"] = "-1",
		["prop_num_prior_exp"] = "1",
		["prop_num_prior_fight_countdown"] = "-1",
		["prop_num_prior_has_lb"] = "-1",
		["prop_num_prior_hp_max"] = "-1",
		["prop_num_prior_immune_hitback"] = "-1",
		["prop_num_prior_pmdef"] = "-1",
		["prop_num_prior_valid_type"] = "-1",
		["prop_num_templ_con_mul"] = "0.7",
	},
	[1011] = {
		["ID"] = "1011",
		["note_name"] = "",
		["note_rank"] = "",
		["note_scene"] = "",
		["prop_base_lv_ini"] = "1",
		["prop_base_lv_offset"] = "0",
		["prop_npc_drop_mask"] = "15",
		["prop_npc_drop_special_info"] = "",
		["prop_npc_hp_bar_num"] = "1",
		["prop_num_base_element_injury_electric"] = "1.5",
		["prop_num_base_element_injury_fire"] = "1",
		["prop_num_base_element_injury_fog"] = "1",
		["prop_num_base_element_injury_ice"] = "1",
		["prop_num_base_element_injury_none"] = "1",
		["prop_num_base_element_injury_oil"] = "1",
		["prop_num_base_element_injury_poison_fog"] = "1",
		["prop_num_base_element_injury_toxic"] = "1",
		["prop_num_base_element_injury_water"] = "1",
		["prop_num_base_element_injury_wind"] = "1",
		["prop_num_base_toxic_mul_res"] = "0",
		["prop_num_npc_cust"] = "",
		["prop_num_npc_tpl"] = "tpl_standard_fly",
		["prop_num_npc_tpl_lv"] = "-1",
		["prop_num_npc_type"] = "1",
		["prop_num_prior_action_immune"] = "-1",
		["prop_num_prior_anti_stealth"] = "-1",
		["prop_num_prior_chaos_dps"] = "-1",
		["prop_num_prior_create_countdown"] = "-1",
		["prop_num_prior_damage_dps"] = "-1",
		["prop_num_prior_exp"] = "1",
		["prop_num_prior_fight_countdown"] = "-1",
		["prop_num_prior_has_lb"] = "-1",
		["prop_num_prior_hp_max"] = "-1",
		["prop_num_prior_immune_hitback"] = "-1",
		["prop_num_prior_pmdef"] = "-1",
		["prop_num_prior_valid_type"] = "-1",
		["prop_num_templ_con_mul"] = "0.7",
	},
	[1012] = {
		["ID"] = "1012",
		["note_name"] = "",
		["note_rank"] = "",
		["note_scene"] = "",
		["prop_base_lv_ini"] = "1",
		["prop_base_lv_offset"] = "0",
		["prop_npc_drop_mask"] = "15",
		["prop_npc_drop_special_info"] = "",
		["prop_npc_hp_bar_num"] = "1",
		["prop_num_base_element_injury_electric"] = "1.5",
		["prop_num_base_element_injury_fire"] = "1",
		["prop_num_base_element_injury_fog"] = "1",
		["prop_num_base_element_injury_ice"] = "1",
		["prop_num_base_element_injury_none"] = "1",
		["prop_num_base_element_injury_oil"] = "1",
		["prop_num_base_element_injury_poison_fog"] = "1",
		["prop_num_base_element_injury_toxic"] = "1",
		["prop_num_base_element_injury_water"] = "1",
		["prop_num_base_element_injury_wind"] = "1",
		["prop_num_base_toxic_mul_res"] = "0",
		["prop_num_npc_cust"] = "",
		["prop_num_npc_tpl"] = "tpl_big_fly",
		["prop_num_npc_tpl_lv"] = "-1",
		["prop_num_npc_type"] = "1",
		["prop_num_prior_action_immune"] = "-1",
		["prop_num_prior_anti_stealth"] = "-1",
		["prop_num_prior_chaos_dps"] = "-1",
		["prop_num_prior_create_countdown"] = "-1",
		["prop_num_prior_damage_dps"] = "-1",
		["prop_num_prior_exp"] = "1",
		["prop_num_prior_fight_countdown"] = "-1",
		["prop_num_prior_has_lb"] = "-1",
		["prop_num_prior_hp_max"] = "-1",
		["prop_num_prior_immune_hitback"] = "-1",
		["prop_num_prior_pmdef"] = "-1",
		["prop_num_prior_valid_type"] = "-1",
		["prop_num_templ_con_mul"] = "0.7",
	},
	[1014] = {
		["ID"] = "1014",
		["note_name"] = "",
		["note_rank"] = "",
		["note_scene"] = "",
		["prop_base_lv_ini"] = "1",
		["prop_base_lv_offset"] = "0",
		["prop_npc_drop_mask"] = "15",
		["prop_npc_drop_special_info"] = "",
		["prop_npc_hp_bar_num"] = "1",
		["prop_num_base_element_injury_electric"] = "1",
		["prop_num_base_element_injury_fire"] = "1",
		["prop_num_base_element_injury_fog"] = "1",
		["prop_num_base_element_injury_ice"] = "1",
		["prop_num_base_element_injury_none"] = "1",
		["prop_num_base_element_injury_oil"] = "1",
		["prop_num_base_element_injury_poison_fog"] = "1",
		["prop_num_base_element_injury_toxic"] = "1",
		["prop_num_base_element_injury_water"] = "1",
		["prop_num_base_element_injury_wind"] = "1",
		["prop_num_base_toxic_mul_res"] = "0.5",
		["prop_num_npc_cust"] = "",
		["prop_num_npc_tpl"] = "tpl_boss_score_bf5",
		["prop_num_npc_tpl_lv"] = "-1",
		["prop_num_npc_type"] = "1",
		["prop_num_prior_action_immune"] = "-1",
		["prop_num_prior_anti_stealth"] = "-1",
		["prop_num_prior_chaos_dps"] = "-1",
		["prop_num_prior_create_countdown"] = "-1",
		["prop_num_prior_damage_dps"] = "-1",
		["prop_num_prior_exp"] = "1",
		["prop_num_prior_fight_countdown"] = "-1",
		["prop_num_prior_has_lb"] = "-1",
		["prop_num_prior_hp_max"] = "-1",
		["prop_num_prior_immune_hitback"] = "-1",
		["prop_num_prior_pmdef"] = "-1",
		["prop_num_prior_valid_type"] = "-1",
		["prop_num_templ_con_mul"] = "0.7",
	},
	[1015] = {
		["ID"] = "1015",
		["note_name"] = "",
		["note_rank"] = "",
		["note_scene"] = "",
		["prop_base_lv_ini"] = "1",
		["prop_base_lv_offset"] = "0",
		["prop_npc_drop_mask"] = "15",
		["prop_npc_drop_special_info"] = "",
		["prop_npc_hp_bar_num"] = "1",
		["prop_num_base_element_injury_electric"] = "1",
		["prop_num_base_element_injury_fire"] = "1",
		["prop_num_base_element_injury_fog"] = "1",
		["prop_num_base_element_injury_ice"] = "1",
		["prop_num_base_element_injury_none"] = "1",
		["prop_num_base_element_injury_oil"] = "1",
		["prop_num_base_element_injury_poison_fog"] = "1",
		["prop_num_base_element_injury_toxic"] = "1",
		["prop_num_base_element_injury_water"] = "1",
		["prop_num_base_element_injury_wind"] = "1",
		["prop_num_base_toxic_mul_res"] = "0",
		["prop_num_npc_cust"] = "",
		["prop_num_npc_tpl"] = "tpl_medium_range_def",
		["prop_num_npc_tpl_lv"] = "-1",
		["prop_num_npc_type"] = "1",
		["prop_num_prior_action_immune"] = "-1",
		["prop_num_prior_anti_stealth"] = "-1",
		["prop_num_prior_chaos_dps"] = "-1",
		["prop_num_prior_create_countdown"] = "-1",
		["prop_num_prior_damage_dps"] = "-1",
		["prop_num_prior_exp"] = "1",
		["prop_num_prior_fight_countdown"] = "-1",
		["prop_num_prior_has_lb"] = "-1",
		["prop_num_prior_hp_max"] = "-1",
		["prop_num_prior_immune_hitback"] = "-1",
		["prop_num_prior_pmdef"] = "-1",
		["prop_num_prior_valid_type"] = "-1",
		["prop_num_templ_con_mul"] = "0.7",
	},
	[1016] = {
		["ID"] = "1016",
		["note_name"] = "",
		["note_rank"] = "",
		["note_scene"] = "",
		["prop_base_lv_ini"] = "1",
		["prop_base_lv_offset"] = "0",
		["prop_npc_drop_mask"] = "15",
		["prop_npc_drop_special_info"] = "",
		["prop_npc_hp_bar_num"] = "1",
		["prop_num_base_element_injury_electric"] = "1",
		["prop_num_base_element_injury_fire"] = "1",
		["prop_num_base_element_injury_fog"] = "1",
		["prop_num_base_element_injury_ice"] = "1",
		["prop_num_base_element_injury_none"] = "1",
		["prop_num_base_element_injury_oil"] = "1",
		["prop_num_base_element_injury_poison_fog"] = "1",
		["prop_num_base_element_injury_toxic"] = "1",
		["prop_num_base_element_injury_water"] = "1",
		["prop_num_base_element_injury_wind"] = "1",
		["prop_num_base_toxic_mul_res"] = "0",
		["prop_num_npc_cust"] = "",
		["prop_num_npc_tpl"] = "tpl_medium_melee_def",
		["prop_num_npc_tpl_lv"] = "-1",
		["prop_num_npc_type"] = "1",
		["prop_num_prior_action_immune"] = "-1",
		["prop_num_prior_anti_stealth"] = "-1",
		["prop_num_prior_chaos_dps"] = "-1",
		["prop_num_prior_create_countdown"] = "-1",
		["prop_num_prior_damage_dps"] = "-1",
		["prop_num_prior_exp"] = "1",
		["prop_num_prior_fight_countdown"] = "-1",
		["prop_num_prior_has_lb"] = "-1",
		["prop_num_prior_hp_max"] = "-1",
		["prop_num_prior_immune_hitback"] = "-1",
		["prop_num_prior_pmdef"] = "-1",
		["prop_num_prior_valid_type"] = "-1",
		["prop_num_templ_con_mul"] = "0.7",
	},
	[1017] = {
		["ID"] = "1017",
		["note_name"] = "",
		["note_rank"] = "",
		["note_scene"] = "",
		["prop_base_lv_ini"] = "1",
		["prop_base_lv_offset"] = "0",
		["prop_npc_drop_mask"] = "15",
		["prop_npc_drop_special_info"] = "",
		["prop_npc_hp_bar_num"] = "1",
		["prop_num_base_element_injury_electric"] = "1",
		["prop_num_base_element_injury_fire"] = "1",
		["prop_num_base_element_injury_fog"] = "1",
		["prop_num_base_element_injury_ice"] = "1",
		["prop_num_base_element_injury_none"] = "1",
		["prop_num_base_element_injury_oil"] = "1",
		["prop_num_base_element_injury_poison_fog"] = "1",
		["prop_num_base_element_injury_toxic"] = "1",
		["prop_num_base_element_injury_water"] = "1",
		["prop_num_base_element_injury_wind"] = "1",
		["prop_num_base_toxic_mul_res"] = "0",
		["prop_num_npc_cust"] = "",
		["prop_num_npc_tpl"] = "tpl_medium_range_def",
		["prop_num_npc_tpl_lv"] = "-1",
		["prop_num_npc_type"] = "1",
		["prop_num_prior_action_immune"] = "-1",
		["prop_num_prior_anti_stealth"] = "-1",
		["prop_num_prior_chaos_dps"] = "-1",
		["prop_num_prior_create_countdown"] = "-1",
		["prop_num_prior_damage_dps"] = "-1",
		["prop_num_prior_exp"] = "1",
		["prop_num_prior_fight_countdown"] = "-1",
		["prop_num_prior_has_lb"] = "-1",
		["prop_num_prior_hp_max"] = "-1",
		["prop_num_prior_immune_hitback"] = "-1",
		["prop_num_prior_pmdef"] = "-1",
		["prop_num_prior_valid_type"] = "-1",
		["prop_num_templ_con_mul"] = "0.7",
	},
	[1018] = {
		["ID"] = "1018",
		["note_name"] = "",
		["note_rank"] = "",
		["note_scene"] = "",
		["prop_base_lv_ini"] = "1",
		["prop_base_lv_offset"] = "0",
		["prop_npc_drop_mask"] = "15",
		["prop_npc_drop_special_info"] = "",
		["prop_npc_hp_bar_num"] = "1",
		["prop_num_base_element_injury_electric"] = "1",
		["prop_num_base_element_injury_fire"] = "1",
		["prop_num_base_element_injury_fog"] = "1",
		["prop_num_base_element_injury_ice"] = "1",
		["prop_num_base_element_injury_none"] = "1",
		["prop_num_base_element_injury_oil"] = "1",
		["prop_num_base_element_injury_poison_fog"] = "1",
		["prop_num_base_element_injury_toxic"] = "1",
		["prop_num_base_element_injury_water"] = "1",
		["prop_num_base_element_injury_wind"] = "1",
		["prop_num_base_toxic_mul_res"] = "0",
		["prop_num_npc_cust"] = "",
		["prop_num_npc_tpl"] = "tpl_medium_melee_def",
		["prop_num_npc_tpl_lv"] = "-1",
		["prop_num_npc_type"] = "1",
		["prop_num_prior_action_immune"] = "-1",
		["prop_num_prior_anti_stealth"] = "-1",
		["prop_num_prior_chaos_dps"] = "-1",
		["prop_num_prior_create_countdown"] = "-1",
		["prop_num_prior_damage_dps"] = "-1",
		["prop_num_prior_exp"] = "1",
		["prop_num_prior_fight_countdown"] = "-1",
		["prop_num_prior_has_lb"] = "-1",
		["prop_num_prior_hp_max"] = "-1",
		["prop_num_prior_immune_hitback"] = "-1",
		["prop_num_prior_pmdef"] = "-1",
		["prop_num_prior_valid_type"] = "-1",
		["prop_num_templ_con_mul"] = "0.7",
	},
	[1019] = {
		["ID"] = "1019",
		["note_name"] = "",
		["note_rank"] = "",
		["note_scene"] = "",
		["prop_base_lv_ini"] = "1",
		["prop_base_lv_offset"] = "0",
		["prop_npc_drop_mask"] = "15",
		["prop_npc_drop_special_info"] = "",
		["prop_npc_hp_bar_num"] = "1",
		["prop_num_base_element_injury_electric"] = "1.5",
		["prop_num_base_element_injury_fire"] = "1",
		["prop_num_base_element_injury_fog"] = "1",
		["prop_num_base_element_injury_ice"] = "1",
		["prop_num_base_element_injury_none"] = "1",
		["prop_num_base_element_injury_oil"] = "1",
		["prop_num_base_element_injury_poison_fog"] = "1",
		["prop_num_base_element_injury_toxic"] = "1",
		["prop_num_base_element_injury_water"] = "1.5",
		["prop_num_base_element_injury_wind"] = "1",
		["prop_num_base_toxic_mul_res"] = "0.5",
		["prop_num_npc_cust"] = "",
		["prop_num_npc_tpl"] = "tpl_big_melee",
		["prop_num_npc_tpl_lv"] = "-1",
		["prop_num_npc_type"] = "1",
		["prop_num_prior_action_immune"] = "-1",
		["prop_num_prior_anti_stealth"] = "-1",
		["prop_num_prior_chaos_dps"] = "-1",
		["prop_num_prior_create_countdown"] = "-1",
		["prop_num_prior_damage_dps"] = "-1",
		["prop_num_prior_exp"] = "1",
		["prop_num_prior_fight_countdown"] = "-1",
		["prop_num_prior_has_lb"] = "-1",
		["prop_num_prior_hp_max"] = "-1",
		["prop_num_prior_immune_hitback"] = "-1",
		["prop_num_prior_pmdef"] = "-1",
		["prop_num_prior_valid_type"] = "-1",
		["prop_num_templ_con_mul"] = "0.7",
	},
	[1021] = {
		["ID"] = "1021",
		["note_name"] = "",
		["note_rank"] = "",
		["note_scene"] = "",
		["prop_base_lv_ini"] = "1",
		["prop_base_lv_offset"] = "0",
		["prop_npc_drop_mask"] = "15",
		["prop_npc_drop_special_info"] = "",
		["prop_npc_hp_bar_num"] = "1",
		["prop_num_base_element_injury_electric"] = "1.5",
		["prop_num_base_element_injury_fire"] = "1",
		["prop_num_base_element_injury_fog"] = "1",
		["prop_num_base_element_injury_ice"] = "1",
		["prop_num_base_element_injury_none"] = "1",
		["prop_num_base_element_injury_oil"] = "1",
		["prop_num_base_element_injury_poison_fog"] = "1",
		["prop_num_base_element_injury_toxic"] = "1",
		["prop_num_base_element_injury_water"] = "1.5",
		["prop_num_base_element_injury_wind"] = "1",
		["prop_num_base_toxic_mul_res"] = "0",
